YEAR,MO,DY,Distribuidora,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,Distribuidora
2025,3,24,Cucuta,21.62,15.9,18.76,22.0,9.87,26.72,16.85,12.7,71.52,0.75,Cucuta
2025,3,25,Cucuta,22.17,15.4,18.78,22.59,10.97,27.56,16.59,12.33,68.1,0.61,Cucuta
2025,3,26,Cucuta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cucuta
2025,3,27,Cucuta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cucuta
2025,3,28,Cucuta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cucuta
2025,3,29,Cucuta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cucuta
2025,3,30,Cucuta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cucuta
2025,3,31,Cucuta,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cucuta
2025,3,1,Bucaramanga,19.05,14.77,16.91,19.05,10.26,24.76,14.5,12.66,78.38,1.21,Bucaramanga
2025,3,2,Bucaramanga,19.13,14.52,16.83,19.2,12.07,25.84,13.77,12.49,77.36,2.79,Bucaramanga
2025,3,3,Bucaramanga,18.9,15.42,17.16,19.26,9.76,24.68,14.92,13.2,82.24,7.64,Bucaramanga
2025,3,4,Bucaramanga,18.2,15.89,17.05,18.35,5.98,21.99,16.01,13.59,87.14,7.88,Bucaramanga
2025,3,5,Bucaramanga,18.71,16.15,17.43,18.9,7.56,23.45,15.89,13.85,86.13,16.03,Bucaramanga
2025,3,6,Bucaramanga,18.92,15.82,17.37,19.49,8.82,24.32,15.5,13.52,84.07,9.05,Bucaramanga
2025,3,7,Bucaramanga,18.96,15.22,17.09,19.22,10.1,24.66,14.56,12.98,81.02,4.53,Bucaramanga
2025,3,8,Bucaramanga,18.89,14.67,16.78,19.02,11.9,25.42,13.52,12.57,78.9,3.56,Bucaramanga
2025,3,9,Bucaramanga,19.18,14.18,16.68,18.97,12.01,25.62,13.61,12.19,75.82,1.55,Bucaramanga
2025,3,10,Bucaramanga,19.13,14.19,16.66,18.97,11.94,25.69,13.75,12.21,75.85,2.82,Bucaramanga
2025,3,11,Bucaramanga,19.39,14.48,16.93,19.19,11.87,25.96,14.09,12.43,75.91,3.59,Bucaramanga
2025,3,12,Bucaramanga,18.92,14.62,16.77,18.98,12.24,25.49,13.25,12.53,78.65,4.82,Bucaramanga
2025,3,13,Bucaramanga,19.17,15.56,17.36,19.27,9.89,25.0,15.11,13.31,81.35,8.4,Bucaramanga
2025,3,14,Bucaramanga,18.99,15.44,17.21,19.12,10.1,25.13,15.03,13.2,81.79,4.74,Bucaramanga
2025,3,15,Bucaramanga,18.75,15.15,16.95,18.69,10.47,24.87,14.4,12.98,81.63,5.89,Bucaramanga
2025,3,16,Bucaramanga,17.99,15.61,16.8,17.5,5.98,21.49,15.51,13.32,86.47,10.74,Bucaramanga
2025,3,17,Bucaramanga,19.05,15.78,17.41,18.88,10.01,24.55,14.54,13.48,82.71,9.91,Bucaramanga
2025,3,18,Bucaramanga,18.97,16.3,17.63,18.92,8.42,24.45,16.03,13.94,85.76,15.63,Bucaramanga
2025,3,19,Bucaramanga,18.99,16.16,17.58,19.2,9.64,24.46,14.82,13.83,85.18,12.96,Bucaramanga
2025,3,20,Bucaramanga,19.76,16.23,18.0,19.73,9.58,25.09,15.51,13.88,81.63,8.14,Bucaramanga
2025,3,21,Bucaramanga,19.51,16.07,17.79,19.38,9.47,24.93,15.46,13.73,81.88,6.6,Bucaramanga
2025,3,22,Bucaramanga,19.8,14.83,17.31,20.02,11.85,26.16,14.31,12.68,75.61,0.83,Bucaramanga
2025,3,23,Bucaramanga,19.32,14.49,16.91,19.54,11.97,25.4,13.43,12.44,75.42,1.74,Bucaramanga
2025,3,24,Bucaramanga,19.98,14.52,17.25,20.1,12.05,26.22,14.17,12.45,73.52,1.02,Bucaramanga
2025,3,25,Bucaramanga,19.86,13.95,16.91,19.87,12.82,26.56,13.74,12.03,71.6,2.26,Bucaramanga
2025,3,26,Bucaramanga,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bucaramanga
2025,3,27,Bucaramanga,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bucaramanga
2025,3,28,Bucaramanga,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bucaramanga
2025,3,29,Bucaramanga,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bucaramanga
2025,3,30,Bucaramanga,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Bucaramanga
